Citation,Parent.Statute,Document.Description,File,Entity.Empowered,Triggering.Event,Describe.Health.Emergency,State.Trigger,Location,Military.Involvement..Federal.,Document.Type,Preliminary.Screening,Source,Chapter,Date.Originally.Published..from.File.,Date.Last.Updated..from.File.,PDF..from.File.,Note,url..from.File.,Funding.Stream.,Funding.Stream.Description,Waiver.Authority,Regulations..Relevant.Chapter..Section.or.Article,Scenarios.Matrix,Plans...Strategies
42 U.S.C. § 5152,Sandy Recovery Improvement Act of 2013,"The Sandy Recovery Improvement Act (SRIA) of 2013 aimed to enhance disaster assistance procedures following Hurricane Sandy by reducing costs, increasing flexibility, and expediting aid. Key provisions included alternative procedures for the Public Assistance Program, expanded housing resources, and streamlined project reviews. Overall, the act represented a significant legislative update to FEMA's authorities, facilitating more efficient disaster recovery efforts.",Sandy Recovery Improvement Act of 2013,Federal Emergency Management Agency,"Natural Disaster,Health Emergency","This act can also be applied to health emergencies such as pandemics to mobilize resources.
",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Exclude,FEMA DOLR,3,1/29/13,,PLAW-113publ2.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/EzVPC6Kt25Okx5zJ7Tl2pA/0-Ry5I9mD7_Q8I4ZxV8Q1BJ88dONNZ_3O5oKcJeuOcSvV50e7qLcMY2uy8ALVt5EcFuYveNoj45C9Qvciusp74Efn19WCGrG1rPzw-bODrecz1C2JmUzLt_qAw91jkmlaKsGQZJcPaZVs_Z4BJjL3pD6eo7XTazYRSUxzUlY7dI/xe0K9C_6_9C730xJ8mc4G-eXR_yfqRR5fwZ9Wxpge9c),"Appropriations have expired or are likely to expire by now
",https://www.congress.gov/113/plaws/publ2/PLAW-113publ2.pdf,,,,,,NA
33 U.S.C. § 2701 to § 2762,Oil Pollution Act ,"The Oil Pollution Act of 1990 (OPA) established strict liability for responsible parties during oil spills and enhanced federal authority to prevent and respond to oil spills in U.S. waters. It created the Oil Spill Liability Trust Fund to cover cleanup costs and damages, while implementing stricter standards for maritime oil transportation and response preparedness. ",Oil Pollution Act ,Department of Homeland Security - Coast Guard,Natural Disaster,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,1/1/90,12/29/00,opa90.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/lgVqJEUCRpArHU2VJ8nHRQ/cSZ7UVcSjx41EUEd6gNTBcn2DuXlF4LVGewKMhcNzWev6ILSne3KefZTlOdlhdtnmK1N9IdhZKaiEhgJa1xWG6NOdyETtXAwLy-zGfJQYNpp8Wu1NvqTRXOsjiFz-VOYs2J39Toz1iQvgHI_b4e2AA/qtpzu64muS0NkqwV8l2ujq4n4Zj05jhnYCAtUrYiEqo),Programs and appropriations directly relating to Hurricane Sandy; not part of generalized policy framework,https://www.congress.gov/113/plaws/publ2/PLAW-113publ2.pdf,,,,,,NA
33 U.S.C. § 2701 to § 2762,Oil Pollution Act ,"The Oil Pollution Act of 1990 (OPA) established strict liability for responsible parties during oil spills and enhanced federal authority to prevent and respond to oil spills in U.S. waters. It created the Oil Spill Liability Trust Fund to cover cleanup costs and damages, while implementing stricter standards for maritime oil transportation and response preparedness. ",Oil Pollution Act ,Environmental Protection Agency,Natural Disaster,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,1/1/90,12/29/00,opa90.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/lgVqJEUCRpArHU2VJ8nHRQ/cSZ7UVcSjx41EUEd6gNTBcn2DuXlF4LVGewKMhcNzWev6ILSne3KefZTlOdlhdtnmK1N9IdhZKaiEhgJa1xWG6NOdyETtXAwLy-zGfJQYNpp8Wu1NvqTRXOsjiFz-VOYs2J39Toz1iQvgHI_b4e2AA/qtpzu64muS0NkqwV8l2ujq4n4Zj05jhnYCAtUrYiEqo),Programs and appropriations directly relating to Hurricane Sandy; not part of generalized policy framework,https://www.congress.gov/113/plaws/publ2/PLAW-113publ2.pdf,,,,,,NA
6 U.S.C. § 101 to § 1007,Homeland Security Act,"The Homeland Security Act established the Department of Homeland Security (DHS) as a new executive department to prevent terrorist attacks, reduce vulnerability to terrorism, and minimize damage from attacks. The act consolidated 22 diverse agencies and bureaus under the DHS umbrella, including agencies responsible for border security, immigration services, and emergency management. It also established specific responsibilities for information sharing among DHS entities, other federal agencies, state and local governments, and the private sector to enhance national security efforts",Homeland Security Act,Department of Homeland Security,"Act of War,No triggering event - Capacity Building",N/A,No,Both,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,3,11/25/02,,hr_5005_enr.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/8nd-Ctnp7tJPpHs-hwkagQ/xPUphhV6AYqy0nFeg-MQn49bOkbpmcTtljJyyB-8EzFIXTuWsoqSPoIuJbiYWIUaPi19Cm3FBG7qXnbknTvV2u28EiuBGhvhPWdR7LlOppbRx9Jyx1xUk9WtBR4-dEUvX4-awFQIGA420zA7hmuasOiO8NojxPrXsB1gnAAl_Bo/76932mnPa11uNvSC5XmvCewe3V0ZCpOyuSyMFjzafqU),,https://www.dhs.gov/xlibrary/assets/hr_5005_enr.pdf,,,,,,NA
6 U.S.C. § 101 to § 1007,Homeland Security Act,"The Homeland Security Act established the Department of Homeland Security (DHS) as a new executive department to prevent terrorist attacks, reduce vulnerability to terrorism, and minimize damage from attacks. The act consolidated 22 diverse agencies and bureaus under the DHS umbrella, including agencies responsible for border security, immigration services, and emergency management. It also established specific responsibilities for information sharing among DHS entities, other federal agencies, state and local governments, and the private sector to enhance national security efforts",Homeland Security Act,Federal Emergency Management Agency,"Act of War,No triggering event - Capacity Building",N/A,No,Both,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,3,11/25/02,,hr_5005_enr.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/8nd-Ctnp7tJPpHs-hwkagQ/xPUphhV6AYqy0nFeg-MQn49bOkbpmcTtljJyyB-8EzFIXTuWsoqSPoIuJbiYWIUaPi19Cm3FBG7qXnbknTvV2u28EiuBGhvhPWdR7LlOppbRx9Jyx1xUk9WtBR4-dEUvX4-awFQIGA420zA7hmuasOiO8NojxPrXsB1gnAAl_Bo/76932mnPa11uNvSC5XmvCewe3V0ZCpOyuSyMFjzafqU),,https://www.dhs.gov/xlibrary/assets/hr_5005_enr.pdf,,,,,,NA
6 U.S.C. § 101 to § 1007,Homeland Security Act,"The Homeland Security Act established the Department of Homeland Security (DHS) as a new executive department to prevent terrorist attacks, reduce vulnerability to terrorism, and minimize damage from attacks. The act consolidated 22 diverse agencies and bureaus under the DHS umbrella, including agencies responsible for border security, immigration services, and emergency management. It also established specific responsibilities for information sharing among DHS entities, other federal agencies, state and local governments, and the private sector to enhance national security efforts",Homeland Security Act,Department of Homeland Security - Cybersecurity & Infrastructure Security Agency,"Act of War,No triggering event - Capacity Building",N/A,No,Both,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,3,11/25/02,,hr_5005_enr.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/8nd-Ctnp7tJPpHs-hwkagQ/xPUphhV6AYqy0nFeg-MQn49bOkbpmcTtljJyyB-8EzFIXTuWsoqSPoIuJbiYWIUaPi19Cm3FBG7qXnbknTvV2u28EiuBGhvhPWdR7LlOppbRx9Jyx1xUk9WtBR4-dEUvX4-awFQIGA420zA7hmuasOiO8NojxPrXsB1gnAAl_Bo/76932mnPa11uNvSC5XmvCewe3V0ZCpOyuSyMFjzafqU),,https://www.dhs.gov/xlibrary/assets/hr_5005_enr.pdf,,,,,,NA
6 U.S.C. § 101 to § 1007,Homeland Security Act,"The Homeland Security Act established the Department of Homeland Security (DHS) as a new executive department to prevent terrorist attacks, reduce vulnerability to terrorism, and minimize damage from attacks. The act consolidated 22 diverse agencies and bureaus under the DHS umbrella, including agencies responsible for border security, immigration services, and emergency management. It also established specific responsibilities for information sharing among DHS entities, other federal agencies, state and local governments, and the private sector to enhance national security efforts",Homeland Security Act,Department of Homeland Security - Immigration and Customs Enforcement,"Act of War,No triggering event - Capacity Building",N/A,No,Both,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,3,11/25/02,,hr_5005_enr.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/8nd-Ctnp7tJPpHs-hwkagQ/xPUphhV6AYqy0nFeg-MQn49bOkbpmcTtljJyyB-8EzFIXTuWsoqSPoIuJbiYWIUaPi19Cm3FBG7qXnbknTvV2u28EiuBGhvhPWdR7LlOppbRx9Jyx1xUk9WtBR4-dEUvX4-awFQIGA420zA7hmuasOiO8NojxPrXsB1gnAAl_Bo/76932mnPa11uNvSC5XmvCewe3V0ZCpOyuSyMFjzafqU),,https://www.dhs.gov/xlibrary/assets/hr_5005_enr.pdf,,,,,,NA
5 U.S.C. § 552(b),Freedom of Information Act,"This act allows the public the right to access federal records. It promotes transparency. It applies to all branches of the federal government, with exceptions for classified information.
",Freedom of Information Act,Department of Justice,No triggering event - Capacity Building,N/A,No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,7/5/67,12/31/07,foia-final.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/5vXiNUqhpmyeXwpHo_9dGA/02tjEYgjkDzYivT06VeWRsa-we7z97UQBZUq3Ah9IZyts8cUC5P8fUBH0ZdLjKYc2R-8Mx044D00OKi0xZtIS8SiWn1reM-EhfvvQV3Lgc1pnGfR2Oftf3eaRd9wUbOyQgSl-sS2okFGS22yMmJcc0Bz34EITIQJ7UKinEYH7hI/C2Lc8e0yEI8SnO8P95zK_hHlySnhW5jjjBxcET8IpK4),"Relates to all agencies?
",https://www.justice.gov/sites/default/files/oip/legacy/2014/07/23/foia-final.pdf,,,,,,NA
6 U.S.C § 701 to § 802,Post Katrina Emergency Management Reform Act,This act was enacted in response to Hurricane Katrina. The main actors are FEMA and state and local governments. It aims to improve response capabilities to major disasters and public emergencies.,Post Katrina Emergency Management Reform Act,Federal Emergency Management Agency,"Natural Disaster,Health Emergency,No triggering event - Capacity Building","This act can also be applied to health emergencies such as pandemics to mobilize resources.
",No,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,3,10/4/06,,Post_Katrina_Emergency_Management_Reform_Act_pdf.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/QuTO65voDuHqBcCletXPJw/ucvrZHXII8idxIrMt3DGg4chCucxwhz6Hyh4bSIqG_s-fQRVYabCEhucU1SO8EdU9yATYjxMbwFPM-oVYG8KgFkdB16svIdCAKrOy1tON3h-x7HnQExNcbCg-rz0pCWZRQ1Cy2_k4OwZv-6osTud9_zJ5rM7aGG7Wmqa9UYEosUztP7GgLDbVW6gWKMPiCR8SkGi2X6pXhqW2xl4J8aTnQ/jlOVzXX1ghvJx7ACmmRXEE8ECMfusHuG4IuJ2l4hn58),,https://www.doi.gov/sites/doi.gov/files/uploads/Post_Katrina_Emergency_Management_Reform_Act_pdf.pdf,,,,,,NA
 H.R. 4367,DHS Appropriations Act,"This act allocates funding to DHS. Other agencies involved include US customs and boarder protection, FEMA, the Coast Guard, TSA, and CISA. It authorizes funding to improve emergency, threat, and disaster response.
",DHS Appropriations Act,Federal Emergency Management Agency,"Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building","Outbreaks and pandemics can initialize the need for funding allocated through this act to assist with personnel, supplies, etc.

",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,1/3/19,,BILLS-116hjres31enr.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/Zanarit5JM-Sbhx0ME-xMw/ny3uSrh6bsfVa-F-Nm1HTEgWSJcE5nPG5mC_Atnhz7fRvzFlk6MUItgBPPIBsj3Tmytspyuqa6dlxO6oP7m3sbzz0vE9TYe6spvt0d3uEv0egBDGG1n8cm-mhi_0pYOXTZHExZW3kVmoHh-ECmL58ALiHC-ThjioRbcNTh6CsW0/0ZFRGY9ppGRseOhzzYa6w014h1uAACwaSZ_EmbXPRp0),*Heather could you take a look at code number for this one?,https://www.congress.gov/116/bills/hjres31/BILLS-116hjres31enr.pdf,,,,,,NA
